Estacion_meteorologica_82_2013-07-03_2024-12-31,Promedio
71.28,71.28
37.16,37.16
28.48,28.48
71.29,71.29
87.27,87.27
84.02,84.02
76.22,76.22
88.46,88.46
85.18,85.18
89.87,89.87
88.24,88.24
86.07,86.07
85.88,85.88
54.3,54.3
80.4,80.4
30.34,30.34
89.4,89.4
64.26,64.26
83.86,83.86
51.57,51.57
71.53,71.53
55.56,55.56
68.61,68.61
86.24,86.24
87.23,87.23
79.14,79.14
65.61,65.61
85.68,85.68
50.58,50.58
82.53,82.53
65.71,65.71
83.29,83.29
81.6,81.6
49.75,49.75
60.18,60.18
37.8,37.8
83.23,83.23
84.32,84.32
53.5,53.5
84.04,84.04
67.55,67.55
56.87,56.87
76.94,76.94
86.98,86.98
87.58,87.58
82.33,82.33
89.63,89.63
87.48,87.48
81.8,81.8
88.15,88.15
53.19,53.19
82.76,82.76
86.32,86.32
85.44,85.44
68.03,68.03
54.6,54.6
84.03,84.03
77.44,77.44
30.44,30.44
81.65,81.65
89.68,89.68
76.03,76.03
74.48,74.48
84.43,84.43
69.64,69.64
85.86,85.86
83.2,83.2
53.54,53.54
83.48,83.48
84.86,84.86
82.63,82.63
70.32,70.32
69.7,69.7
86.02,86.02
53.74,53.74
79.59,79.59
84.16,84.16
86.33,86.33
53.82,53.82
66.97,66.97
74.65,74.65
49.55,49.55
79.81,79.81
89.18,89.18
85.11,85.11
64.65,64.65
86.67,86.67
61.96,61.96
87.98,87.98
71.85,71.85
82.36,82.36
58.94,58.94
85.69,85.69
76.19,76.19
89.38,89.38
78.68,78.68
81.65,81.65
35.67,35.67
80.53,80.53
85.0,85.0
85.75,85.75
76.59,76.59
88.55,88.55
86.97,86.97
88.49,88.49
87.14,87.14
81.35,81.35
79.29,79.29
89.31,89.31
79.59,79.59
55.82,55.82
68.73,68.73
69.52,69.52
87.58,87.58
71.15,71.15
79.12,79.12
82.8,82.8
75.35,75.35
89.27,89.27
74.79,74.79
55.53,55.53
68.74,68.74
59.59,59.59
81.85,81.85
78.48,78.48
84.79,84.79
83.0,83.0
86.4,86.4
54.78,54.78
55.69,55.69
83.78,83.78
84.85,84.85
85.13,85.13
88.43,88.43
75.18,75.18
87.02,87.02
55.6,55.6
57.47,57.47
62.9,62.9
77.68,77.68
41.65,41.65
72.39,72.39
54.26,54.26
86.06,86.06
74.78,74.78
84.86,84.86
61.47,61.47
74.44,74.44
86.43,86.43
87.4,87.4
84.02,84.02
63.34,63.34
86.61,86.61
80.02,80.02
86.61,86.61
76.06,76.06
87.16,87.16
87.66,87.66
66.26,66.26
63.14,63.14
34.5,34.5
71.58,71.58
86.44,86.44
79.98,79.98
67.0,67.0
87.87,87.87
61.76,61.76
62.19,62.19
86.88,86.88
86.08,86.08
88.9,88.9
47.31,47.31
88.96,88.96
81.99,81.99
59.97,59.97
75.02,75.02
66.02,66.02
81.97,81.97
85.41,85.41
87.12,87.12
83.1,83.1
50.58,50.58
83.2,83.2
56.42,56.42
55.69,55.69
63.76,63.76
73.97,73.97
73.34,73.34
63.29,63.29
83.75,83.75
78.55,78.55
86.48,86.48
52.2,52.2
88.42,88.42
86.3,86.3
55.66,55.66
65.9,65.9
58.33,58.33
62.88,62.88
23.81,23.81
